상태,STATUS
부모아이디,PARENT_ID
패턴,PATTERN
대체어,REPLACE_WORD
카드명,CARD_NAME
가맹점아이디,MER_ID
대표가명점명,REP_MER_NAME
카드아이디,CARD_ID
혜택,BENEFIT
상세혜택,DETAIL_BENEFIT
전월기준금액,MOM_BPAYMENT
연회비,ANNUAL_FEE
발급업체,ISSUED_COMPANY
카드혜택아이디,CARD_BENEFIT_ID
카드이미지URL,CARD_IMAGE_URL
혜택이미지URL,BENEFIT_IMAGE_URL
대표혜택여부,REP_BENEFIT_YN
카드가맹점별혜택,CARD_MER_BENEFIT
발급업체아이디,ISSUED_COMPANY_ID
건수,CNT
재방문율,REVISIT_RATE
지불액,PAYMENT
소셜커머스여부,SOCIAL_COMMERCE_YN
최종방문일자,LAST_VISIT_DT
병합전회사아이디,MERG_BEF_CO_ID
병합후회사아이디,MERG_AFT_CO_ID
분류명,CATE_NAME
분류코드,CATE_CODE
패턴1점수,PATTERN1_POINT
패턴2점수,PATTERN2_POINT
패턴3점수,PATTERN3_POINT
제외패턴,EXCLUDE_PATTERN
본사여부,HEADQURT_YN
POI버전,POI_VERSION
검색엔진버전,SEARCH_ENG_VERSION
거래일자,DEAL_DT
상점명,STORE_NAME
시도,SIDO
시군구,SIGUNGU
동,DONG
역,STATION
지역,REGION
리포트타입,REPORT_TYPE
기타,ETC
원본메세지,ORG_MSG
퍼센트,PERCENT
라이프존아이디,LIFEZONE_ID
수집일시,COLLECT_DT
상표,BRAND
셀프여부,SELF_YN
고급휘발유,PREMIUM_GASOLINE
휘발유,GASOLINE
경유,DIESEL_OIL
실내등유,WHITE_LAMP_OIL
원본유지여부,ORG_KEEPING_YN
원본어,ORG_WORD
구매금액,PUR_AMOUNT
구매위치,PUR_LOCATION
구매시간,PUR_TIME
현재위치,CUR_LOCATION
카드사,CARD_COMP
미확인카드명,UNCONF_CARD_NAME
카드명,CARD_NAME
결제일,PYMT_DAY
기준실적금액,RACC
최대한도금액,MAX_LIMIT_AMOUNT
사용금액,USE_AMOUNT
사용율,USE_RATE
평가점수,EVAL_POINT
커맨트,COMMENT
검색어,SEARCH_KEYWORD
조회상점명,SEARCH_STORE_NAME
조회상점아이디,SEARCH_STORE_ID
월급,SALARY
착한상점여부,GOOD_STORE_YN
거리갭1,DISTANCE_GAP1
거리갭2,DISTANCE_GAP2
거리갭3,DISTANCE_GAP3
거리갭4,DISTANCE_GAP4
라이프존번호,LIFEZONE_NUM
암호화전화번호,ENC_MSISDN
